Stress/Limitation,Stress,Stress Category
,Unclear,Unclear
oxidative stress,Oxidative,Env
light stress,High-light,Env
temperature stress,Temperature,Thermal
nitrogen limitation,Nitrogen,Nutrients
osmotic stress,Osmotic,Env
nutrient limitation,Nutrient,Nutrients
nutrient stress,Nutrient,Nutrients
Oxidative stress,Oxidative,Env
nitrogen stress,Nitrogen,Nutrients
general stress,General,Other
Light stress,High-light,Env
Temperature stress,Temperature,Thermal
phosphate limitation,Phosphate,Nutrients
iron limitation,Iron,Nutrients
Oxidative Stress,Oxidative,Env
UV stress,UV,Env
environmental stress,Environmental,Env
phosphate stress,Phosphate,Nutrients
metal stress,Metal ,Trace Metals
thermal stress,Temperature,Thermal
sulfur limitation,Sulfur,Nutrients
Osmotic stress,Osmotic,Env
"nitrogen limitation, nitrogen stress",Nitrogen,Nutrients
carbon stress,Carbon,Nutrients
"nutrient limitation, nitrogen stress",Nitrogen,Nutrients
cold stress,Cold,Thermal
under stress,Unclear,Unclear
iron stress,Iron,Nutrients
Nutrient limitation,Nutrient,Nutrients
"nutrient limitation, limitation stress",Nutrient,Nutrients
"nutrient limitation, phosphate stress",Phosphate,Nutrients
phosphorus limitation,Phosphorus,Nutrients
photooxidative stress,Photooxidative,Env
heat stress,Heat,Thermal
Nitrogen limitation,Nitrogen,Nutrients
Cold stress,Cold,Thermal
Salt stress,Salt,Env
Metal stress,Metal,Trace Metals
carbon limitation,Carbon,Nutrients
B12 limitation,B12,Vitamin
processing stress,Unclear,Unclear
"phosphate limitation, phosphate stress",Phosphate,Nutrients
Iron limitation,Iron,Nutrients
General stress,General,Other
regulon stress,Unclear,Unclear
"Nitrogen limitation, limitation stress",Nitrogen,Nutrients
selenium limitation,Selenium,Trace Metals
specific stress,Unclear,Unclear
Envelope stress,Unclear,Unclear
CO2 limitation,CO2,Nutrients
"B12 limitation, vitamin stress",B12,Vitamin
pH stress,pH,Env
Phosphate stress,Phosphate,Nutrients
"Nitrogen limitation, nitrogen stress",Nitrogen,Nutrients
folding stress,Unclear,Unclear
"nutrient limitation, various stress",Nutrient,Nutrients
Phosphorus limitation,Phosphorus,Nutrients
Temperature Stress,Temperature,Thermal
"nutrient limitation, environmental stress",Environmental,Env
"nutrient limitation, environmental stress",Nutrient,Nutrients
arsenic stress,Arsenic,Trace Metals
availability stress,Metal,Trace Metals
"nitrogen limitation, nutrient stress",Nitrogen,Nutrients
cellular stress,Unclear,Unclear
cobalt limitation,Cobalt,Trace Metals
membrane stress,Unclear,Unclear
copper limitation,Copper,Trace Metals
folate limitation,Folate,Vitamin
"iron limitation, under stress",Iron,Nutrients
various stress,Unclear,Unclear
